観測所番号	都道府県	地点	現在値(mm)
44046	東京都	小河内（オゴウチ）	0
44051	東京都	小沢（オザワ）	0
44056	東京都	青梅（オウメ）	9.5
44071	東京都	練馬（ネリマ）	0.5
44112	東京都	八王子（ハチオウジ）	0
44116	東京都	府中（フチュウ）	0
44126	東京都	世田谷（セタガヤ）	0
44132	東京都	東京（トウキョウ）	0
44136	東京都	江戸川臨海（エドガワリンカイ）	0
44166	東京都	羽田（ハネダ）	0
44172	東京都	大島（オオシマ）	0
44173	東京都	大島北ノ山（オオシマキタノヤマ）	0
44191	東京都	利島（トシマ）	0
44207	東京都	新島（ニイジマ）	0
44216	東京都	神津島（コウヅシマ）	0
44226	東京都	三宅島（ミヤケジマ）	0.5
44228	東京都	三宅坪田（ミヤケツボタ）	0
44262	東京都	八重見ヶ原（ヤエミガハラ）	1.5
44263	東京都	八丈島（ハチジョウジマ）	2
44281	東京都	青ヶ島（アオガシマ）	11.5
44301	東京都	父島（チチジマ）	0
44316	東京都	母島（ハハジマ）	1
46001	神奈川県	相模湖（サガミコ）	0
46046	神奈川県	相模原中央（サガミハラチュウオウ）	0
46061	神奈川県	日吉（ヒヨシ）	0
46076	神奈川県	丹沢湖（タンザワコ）	0
46091	神奈川県	海老名（エビナ）	0
46106	神奈川県	横浜（ヨコハマ）	0
46136	神奈川県	平塚（ヒラツカ）	0
46141	神奈川県	辻堂（ツジドウ）	0
46161	神奈川県	箱根（ハコネ）	0
46166	神奈川県	小田原（オダワラ）	0
46211	神奈川県	三浦（ミウラ）	0
